Date,Return
2018-04-02,0.9979425695591672
2018-04-03,0.9827946423108627
2018-04-04,0.9833494624482791
2018-04-05,0.9684945895160336
2018-04-06,0.9690758087179853
2018-04-09,0.9731489230963848
2018-04-10,0.9784101462111819
2018-04-11,0.9836883633048091
2018-04-12,0.9618561780884217
2018-04-13,0.9655689202702497
2018-04-16,0.9677782320429271
2018-04-17,0.9738089852296113
2018-04-18,0.9608209941313196
2018-04-19,0.941121359913263
2018-04-20,0.9151343275708561
2018-04-23,0.9025945380897363
2018-04-24,0.8908100531675461
2018-04-25,0.8738594799818853
2018-04-26,0.8791864811647817
2018-04-27,0.8882020636391463
2018-04-30,0.8743523023946741
2018-05-01,0.864012444247794
2018-05-02,0.8588527144342823
2018-05-03,0.8675764686632611
2018-05-04,0.8776171375390651
2018-05-07,0.877601469209973
2018-05-08,0.8765692575088998
2018-05-09,0.8724170353833897
2018-05-10,0.8927925635106652
2018-05-11,0.8956559538281874
2018-05-14,0.8854875911660752
2018-05-15,0.8525886933731148
2018-05-16,0.8487693548491894
2018-05-17,0.8432340414552147
2018-05-18,0.8516593179672349
2018-05-21,0.8562978484576573
2018-05-22,0.8525441278364088
2018-05-23,0.8627716408273923
2018-05-24,0.8789069850752864
2018-05-25,0.8815655237630642
2018-05-29,0.9004126672738405
2018-05-30,0.9008257763040107
2018-05-31,0.8925636144611073
2018-06-01,0.8877964633710804
2018-06-04,0.8819853188210051
2018-06-05,0.8883826014541579
2018-06-06,0.8855161493475595
2018-06-07,0.8943674736548743
2018-06-08,0.8939886760691316
2018-06-11,0.8943651542146229
2018-06-12,0.8915902118209295
2018-06-13,0.8917620284155651
2018-06-14,0.9029898911438774
2018-06-15,0.8855034703305701
2018-06-18,0.8809530871739341
2018-06-19,0.8814521357014052
2018-06-20,0.868706701397624
2018-06-21,0.8679644975112133
2018-06-22,0.8710059724619572
2018-06-25,0.8607650785603636
2018-06-26,0.8578785420996929
2018-06-27,0.8561209256680976
2018-06-28,0.8564043504686311
2018-06-29,0.8578364676329062
2018-07-02,0.8479046593920383
2018-07-03,0.859615852124091
2018-07-05,0.8708339000857566
2018-07-06,0.8775633463736694
2018-07-09,0.8807680259317633
2018-07-10,0.8808874571495627
2018-07-11,0.8668233119147479
2018-07-12,0.8771474016883638
2018-07-13,0.8747350102738978
2018-07-16,0.8695361609434186
2018-07-17,0.8591206128197608
2018-07-18,0.8570699089108705
2018-07-19,0.8547088013170183
2018-07-20,0.8499186642973882
2018-07-23,0.8357231437911228
2018-07-24,0.8418742855952688
2018-07-25,0.8516594254847846
2018-07-26,0.8399429291210759
2018-07-27,0.8365972042574819
2018-07-30,0.8281401232525971
2018-07-31,0.8386137412943686
2018-08-01,0.8237788729065592
2018-08-02,0.8239406848140435
2018-08-03,0.8339829636083571
2018-08-06,0.8322898481013947
2018-08-07,0.8327054380335325
2018-08-08,0.8353726231203603
2018-08-09,0.8390337709078698
2018-08-10,0.8384583806216541
2018-08-13,0.8194290263405607
2018-08-14,0.8233306725924523
2018-08-15,0.806270453526854
2018-08-16,0.8114550676138754
2018-08-17,0.8231536517794177
2018-08-20,0.8341581564307974
2018-08-21,0.8358178229862895
2018-08-22,0.8400864044070707
2018-08-23,0.8310538145167133
2018-08-24,0.8531598596420823
2018-08-27,0.8583755348128366
2018-08-28,0.846093312888987
2018-08-29,0.8548289539964392
2018-08-30,0.8487827894288917
2018-08-31,0.8452126834050527
2018-09-04,0.8340558823809966
2018-09-05,0.8310705068720685
2018-09-06,0.8323515685232056
2018-09-07,0.8204619685324592
2018-09-10,0.824073853086162
2018-09-11,0.8200905897063053
2018-09-12,0.8276101735560387
2018-09-13,0.8310039645426499
2018-09-14,0.8216184255557768
2018-09-17,0.8199542957844648
2018-09-18,0.8138934089909702
2018-09-19,0.8117043194771607
